r_fighter,b_fighter
Corey Anderson,Mauricio Rua
Fabricio Werdum,Stipe Miocic
Vitor Belfort,Jacare Souza
Warlley Alves,Bryan Barberena
Luan Chagas,Sergio Moraes
Nate Marquardt,Thiago Santos
Yancy Medeiros,Francisco Trinaldo
Rob Font,John Lineker
Patrick Cummins,Rogerio Nogueira
Zubaira Tukhugov,Renato Moicano
Matt Brown,Demian Maia
Thomas Almeida,Cody Garbrandt
Renan Barao,Jeremy Stephens
Tarec Saffiedine,Rick Story
Vitor Miranda,Chris Camozzi
Jorge Masvidal,Lorenz Larkin
Joshua Burkman,Paul Felder
Jessica Eye,Sara McMann
Jordan Rinaldi,Abel Trujillo
Alberto Uda,Jake Collier
Shane Campbell,Erik Koch
Aljamain Sterling,Bryan Caraway
Chris de la Rocha,Adam Milstead
Luke Rockhold,Michael Bisping
Urijah Faber,Dominick Cruz
Ricardo Lamas,Max Holloway
Hector Lombard,Dan Henderson
Bobby Green,Dustin Poirier
Clay Guida,Brian Ortega
Dong Hyun Ma,Marco Polo Reyes
Jessica Penne,Jessica Andrade
Cole Miller,Alex Caceres
Tom Breese,Sean Strickland
Jonathan Wilson,Henrique da Silva
Elvis Mutapcic,Kevin Casey
James Vick,Beneil Dariush
Valerie Letourneau,Joanne Wood
Rory MacDonald,Stephen Thompson
Patrick Cote,Donald Cerrone
Sean O'Connell,Steve Bosse
Thibault Gouti,Olivier Aubin-Mercier
Leandro Silva,Jason Saggo
Geane Herrera,Ali Bagautinov
Tamdan McCrory,Krzysztof Jotko
Chris Beal,Joe Soto
Sam Alvey,Elias Theodorou
Jocelyn Jones-Lybarger,Randa Markos
Jonathan Meunier,Colby Covington
Ion Cutelaba,Misha Cirkunov
Rafael Dos Anjos,Eddie Alvarez
Roy Nelson,Derrick Lewis
Belal Muhammad,Alan Jouban
Mitch Clarke,Joe Duffy
Mike Pyle,Alberto Mina
Mehdi Baghdad,John Makdessi
Russell Doane,Pedro Munhoz
Jerrod Sanders,Felipe Arantes
Lukasz Sajewski,Gilbert Burns
Reginaldo Vieira,Marco Beltran
Alvaro Herrera Mendoza,Vicente Luque
Dileno Lopes,Anthony Birchak
Ross Pearson,Will Brooks
Claudia Gadelha,Joanna Jedrzejczyk
Khalil Rountree Jr.,Andrew Sanchez
Amanda Cooper,Tatiana Suarez
Thiago Tavares,Dooho Choi
Anton Zafir,Li Jingliang
Fernando Bruno,Gray Maynard
John Moraga,Matheus Nicolau
Cory Hendricks,Josh Stansbury
Anthony Smith,Cezar Ferreira
Jake Matthews,Kevin Lee
Andrew Holbrook,Joaquim Silva
Miesha Tate,Amanda Nunes
Anderson Silva,Daniel Cormier
Frankie Edgar,Jose Aldo
Travis Browne,Cain Velasquez
Cat Zingano,Julianna Pena
Johny Hendricks,Kelvin Gastelum
Raphael Assuncao,TJ Dillashaw
Enrique Marin,Sage Northcutt
Diego Sanchez,Joe Lauzon
Thiago Santos,Gegard Mousasi
Takanori Gomi,Jim Miller
Michael McDonald,John Lineker
Lando Vannata,Tony Ferguson
Josh Samman,Tim Boetsch
Kyle Noke,Keita Nakamura
Ben Nguyen,Louis Smolka
Aleksei Oleinik,Daniel Omielanczuk
Eric Spicely,Sam Alvey
Cristina Stanciu,Cortney Casey
Cody Pfister,Scott Holtzman
Matthew Lopez,Rani Yahya
Devin Clark,Alex Nicholson
Lauren Murphy,Katlyn Cerminara
Holly Holm,Valentina Shevchenko
Gilbert Melendez,Edson Barboza
Bojan Mihajlovic,Francis Ngannou
Frankie Saenz,Eddie Wineland
Kailin Curran,Felice Herrig
Alexander Yakovlev,Kamaru Usman
JC Cottrell,Michel Prazeres
James Moontasri,Alex Oliveira
Jim Alers,Jason Knight
Dmitrii Smoliakov,Luis Henrique
Godofredo Pepey,Darren Elkins
Bojan Velickovic,Michael Graves
Cesar Arzamendia,Damien Brown
Hector Sandoval,Wilson Reis
Damian Grabowski,Anthony Hamilton
Ross Pearson,Jorge Masvidal
Ed Herman,Nikita Krylov
Fredy Serrano,Ryan Benoit
Francisco Rivera,Erik Perez
Matt Brown,Jake Ellenberger
Rose Namajunas,Karolina Kowalkiewicz
Robbie Lawler,Tyron Woodley
Chase Sherman,Justin Ledet
Alex Caceres,Yair Rodriguez
Rony Jason,Dennis Bermudez
Chris Camozzi,Thales Leites
Joseph Gigliotti,Trevor Smith
Zak Cummings,Santiago Ponzinibbio
Dominique Steele,Court McGee
Viktor Pesta,Marcin Tybura
Jason Novelli,David Teymur
Horacio Gutierrez,Teruto Ishihara
Tatsuya Kawajiri,Cub Swanson
Danielle Taylor,Maryna Moroz
Hyun Gyu Lim,Mike Perry
Nate Diaz,Conor McGregor
Glover Teixeira,Anthony Johnson
Rick Story,Donald Cerrone
Sabah Homasi,Tim Means
Neil Magny,Lorenz Larkin
Elizabeth Phillips,Raquel Pennington
Chris Avila,Artem Lobov
Randa Markos,Cortney Casey
Max Griffin,Colby Covington
Alberto Uda,Marvin Vettori
Takeya Mizugaki,Cody Garbrandt
Bec Rawlings,Paige VanZant
Carlos Condit,Demian Maia
Charles Oliveira,Anthony Pettis
Kevin Casey,Sam Alvey
Joe Lauzon,Jim Miller
Garreth McLellan,Alessio Di Chirico
Shane Campbell,Felipe Silva
Thibault Gouti,Chad Laprise
Enrique Barzola,Kyle Bochniak
Alex Ricci,Jeremy Kennedy
Jan Blachowicz,Alexander Gustafsson
Andrei Arlovski,Josh Barnett
Ilir Latifi,Ryan Bader
Tae Hyun Bang,Nick Hein
Jim Wallhead,Jessin Ayari
Nicolas Dalby,Peter Sobotta
Veronica Hardy,Ashlee Evans-Smith
Leandro Issa,Taylor Lapilus
Scott Askham,Jack Hermansson
Leandro Silva,Rustam Khabilov
Christian Colombo,Jarjis Danho
Alistair Overeem,Stipe Miocic
Travis Browne,Fabricio Werdum
CM Punk,Mickey Gall
Urijah Faber,Jimmie Rivera
Sean Spencer,Yancy Medeiros
Jessica Eye,Bethe Correia
Caio Magalhaes,Brad Tavares
Michael McBride,Nik Lentz
Jason Gonzalez,Drew Dober
Joanne Wood,Jessica Andrade
Ricky Glenn,Evan Dunham
Kenny Robertson,Roan Carneiro
Dustin Poirier,Michael Johnson
Uriah Hall,Derek Brunson
Chris Wade,Islam Makhachev
Sam Sicilia,Gabriel Benitez
Albert Morales,Alejandro Perez
Augusto Montano,Belal Muhammad
Leonardo Guimaraes,Antonio Carlos Junior
Joey Gomez,Jose Quinonez
Erick Montano,Randy Brown
Maximo Blanco,Chas Skelly
Lina Lansberg,Cristiane Justino
Phillipe Nover,Renan Barao
Antonio Silva,Roy Nelson
Paul Felder,Francisco Trinaldo
Thiago Santos,Eric Spicely
Mike de la Torre,Godofredo Pepey
Gilbert Burns,Michel Prazeres
Michinori Tanaka,Rani Yahya
Luan Chagas,Erick Silva
Stevie Ray,Alan Patrick
Hector Urbina,Vicente Luque
Glaico Franca Moreira,Gregor Gillespie
Dustin Ortiz,Jussier Formiga
Louis Smolka,Brandon Moreno
John Dodson,John Lineker
Joachim Christensen,Henrique da Silva
Will Brooks,Alex Oliveira
Hacran Dias,Andre Fili
Joshua Burkman,Zak Ottow
Keita Nakamura,Elizeu Zaleski dos Santos
Tamdan McCrory,Nate Marquardt
Jonathan Wilson,Ion Cutelaba
Cody East,Curtis Blaydes
Kelly Faszholz,Ketlen Vieira
Walt Harris,Shamil Abdurakhimov
Vitor Belfort,Gegard Mousasi
Ovince Saint Preux,Jimi Manuwa
Daniel Omielanczuk,Stefan Struve
Russell Doane,Mirsad Bektic
Dan Henderson,Michael Bisping
Davey Grant,Damian Stasiak
Albert Tumenov,Leon Edwards
Lukasz Sajewski,Marc Diakiese
Danny Roberts,Mike Perry
Adriano Martins,Leonardo Santos
Brad Pickett,Iuri Alcantara
Rafael Dos Anjos,Tony Ferguson
Marcin Held,Diego Sanchez
Charles Oliveira,Ricardo Lamas
Claudio Puelles,Martin Bravo
Rashid Magomedov,Beneil Dariush
Heather Clark,Alexa Grasso
Erick Montano,Max Griffin
Marco Beltran,Joe Soto
Henry Briones,Douglas Silva de Andrade
Alex Nicholson,Sam Alvey
Jason Novelli,Marco Polo Reyes
Chris Avila,Enrique Barzola
Felipe Arantes,Erik Perez
Chris Weidman,Yoel Romero
Miesha Tate,Raquel Pennington
Eddie Alvarez,Conor McGregor
Karolina Kowalkiewicz,Joanna Jedrzejczyk
Jeremy Stephens,Frankie Edgar
Belal Muhammad,Vicente Luque
Rafael Natal,Tim Boetsch
Katlyn Cerminara,Liz Carmouche
Michael Johnson,Khabib Nurmagomedov
Stephen Thompson,Tyron Woodley
Thiago Alves,Jim Miller
Rogerio Nogueira,Ryan Bader
Albert Morales,Thomas Almeida
Cortney Casey,Claudia Gadelha
Thales Leites,Krzysztof Jotko
Warlley Alves,Kamaru Usman
Zak Ottow,Sergio Moraes
Jack Hermansson,Cezar Ferreira
Marcos Rogerio de Lima,Gadzhimurad Antigulov
Manvel Gamburyan,Johnny Eduardo
Justin Scoggins,Pedro Munhoz
Uriah Hall,Gegard Mousasi
Christian Colombo,Luis Henrique
Timothy Johnson,Alexander Volkov
Charlie Ward,Abdul Razak Alhassan
Kwan Ho Kwak,Brett Johns
Milana Dudieva,Marion Reneau
Ross Pearson,Stevie Ray
Mark Godbeer,Justin Ledet
Alexander Yakovlev,Zak Cummings
Magomed Mustafaev,Kevin Lee
Ali Bagautinov,Kyoji Horiguchi
Magnus Cedenblad,Jack Marshman
Teruto Ishihara,Artem Lobov
Anna Elmose,Amanda Cooper
Derek Brunson,Robert Whittaker
Jake Matthews,Andrew Holbrook
Khalil Rountree Jr.,Tyson Pedro
Kyle Noke,Omari Akhmedov
Yusuke Kasuya,Alexander Volkanovski
Seo Hee Ham,Danielle Taylor
Dan Hooker,Jason Knight
Jon Tuck,Damien Brown
Chris Camozzi,Daniel Kelly
Yao Zhikui,Jenel Lausa
Guangyou Ning,Marlon Vera
Geane Herrera,Ben Nguyen
Richard Walsh,Jonathan Meunier
Tim Elliott,Demetrious Johnson
Henry Cejudo,Joseph Benavidez
Jake Ellenberger,Jorge Masvidal
Alexis Davis,Sara McMann
Ion Cutelaba,Jared Cannonier
Matt Schnell,Rob Font
Brendan O'Reilly,Dong Hyun Ma
Kailin Curran,Jamie Moyle
Elvis Mutapcic,Anthony Smith
Josh Stansbury,Devin Clark
Gray Maynard,Ryan Hall
Ryan Benoit,Brandon Moreno
Ashley Yoder,Justine Kish
Shamil Abdurakhimov,Derrick Lewis
Anthony Hamilton,Francis Ngannou
Sean O'Connell,Corey Anderson
Saparbeg Safarov,Gian Villante
Joseph Gigliotti,Gerald Meerschaert
Trevor Smith,Andrew Sanchez
Tiago dos Santos e Silva,Shane Burgos
Frankie Perez,Marc Diakiese
Keith Berish,Ryan Janes
JJ Aldrich,Juliana Lima
Brian Camozzi,Randy Brown
Anthony Pettis,Max Holloway
Matt Brown,Donald Cerrone
Dooho Choi,Cub Swanson
Tim Kennedy,Kelvin Gastelum
Jordan Mein,Emil Meek
Nikita Krylov,Misha Cirkunov
Drew Dober,Olivier Aubin-Mercier
Valerie Letourneau,Viviane Pereira
Mitch Gagnon,Matthew Lopez
John Makdessi,Lando Vannata
Jason Saggo,Rustam Khabilov
Zach Makovsky,Dustin Ortiz
Paige VanZant,Michelle Waterson-Gomez
Brad Pickett,Urijah Faber
Mike Perry,Alan Jouban
Henrique da Silva,Paul Craig
Cole Miller,Mizuto Hirota
Sage Northcutt,Mickey Gall
James Moontasri,Alex Morono
Scott Holtzman,Josh Emmett
Irene Aldana,Leslie Smith
Takeya Mizugaki,Eddie Wineland
Fredy Serrano,Hector Sandoval
Bojan Velickovic,Sultan Aliev
Bryan Barberena,Colby Covington
Ronda Rousey,Amanda Nunes
Dominick Cruz,Cody Garbrandt
John Lineker,TJ Dillashaw
Tarec Saffiedine,Dong Hyun Kim
Louis Smolka,Ray Borg
Johny Hendricks,Neil Magny
Marvin Vettori,Antonio Carlos Junior
Mike Pyle,Alex Garcia
Brandon Thatch,Niko Price
BJ Penn,Yair Rodriguez
Marcin Held,Joe Lauzon
Court McGee,Ben Saunders
John Moraga,Sergio Pettis
Devin Powell,Drakkar Klose
Bojan Mihajlovic,Joachim Christensen
Viktor Pesta,Aleksei Oleinik
Alex White,Anthony Rocco Martin
Jocelyn Jones-Lybarger,Nina Nunes
Chase Sherman,Walt Harris
Dmitrii Smoliakov,Cyril Asker
Frankie Saenz,Augusto Mendes
Alex Caceres,Jason Knight
Julianna Pena,Valentina Shevchenko
Donald Cerrone,Jorge Masvidal
Andrei Arlovski,Francis Ngannou
Nate Marquardt,Sam Alvey
Jeremy Kimball,Marcos Rogerio de Lima
Bobby Nash,Li Jingliang
Henrique da Silva,Jordan Johnson
Alessio Di Chirico,Eric Spicely
JC Cottrell,Jason Gonzalez
Eric Shelton,Alexandre Pantoja
Aljamain Sterling,Raphael Assuncao
Dennis Bermudez,Chan Sung Jung
Alexa Grasso,Felice Herrig
Abel Trujillo,James Vick
Ovince Saint Preux,Volkan Oezdemir
Angela Hill,Jessica Andrade
Chris Gruetzemacher,Chas Skelly
Michinori Tanaka,Ricardo Ramos
Bec Rawlings,Tecia Torres
Daniel Jolly,Khalil Rountree Jr.
Anthony Hamilton,Marcel Fortuna
Tim Boetsch,Jacare Souza
Holly Holm,Germaine de Randamie
Derek Brunson,Anderson Silva
Jared Cannonier,Glover Teixeira
Roan Carneiro,Ryan LaFlare
Randy Brown,Belal Muhammad
Yuta Sasaki,Wilson Reis
Nik Lentz,Islam Makhachev
Phillipe Nover,Ricky Glenn
Jim Miller,Dustin Poirier
Cezar Ferreira,Elias Theodorou
Travis Browne,Derrick Lewis
Hector Lombard,Johny Hendricks
Sam Sicilia,Gavin Tucker
Gina Mazany,Sara McMann
Ryan Janes,Gerald Meerschaert
Nordine Taleb,Santiago Ponzinibbio
Carla Esparza,Randa Markos
Reginaldo Vieira,Aiemann Zahabi
Jack Marshman,Thiago Santos
Alex Ricci,Paul Felder
Stephen Thompson,Tyron Woodley
Lando Vannata,David Teymur
Rashad Evans,Daniel Kelly
Amanda Cooper,Cynthia Calvillo
Mark Hunt,Alistair Overeem
Luis Henrique,Marcin Tybura
Luke Sanders,Iuri Alcantara
Daniel Spitz,Mark Godbeer
Paul Craig,Tyson Pedro
Andre Soukhamthath,Albert Morales
Mirsad Bektic,Darren Elkins
Gian Villante,Mauricio Rua
Tim Means,Alex Oliveira
Jussier Formiga,Ray Borg
Francisco Trinaldo,Kevin Lee
Beneil Dariush,Edson Barboza
Rani Yahya,Joe Soto
Joshua Burkman,Michel Prazeres
Rony Jason,Jeremy Kennedy
Garreth McLellan,Paulo Costa
Marion Reneau,Bethe Correia
Davi Ramos,Sergio Moraes
Corey Anderson,Jimi Manuwa
Alan Jouban,Gunnar Nelson
Brad Pickett,Marlon Vera
Makwan Amirkhani,Arnold Allen
Reza Madadi,Joe Duffy
Daniel Omielanczuk,Timothy Johnson
Vicente Luque,Leon Edwards
Teemu Packalen,Marc Diakiese
Scott Askham,Brad Scott
Lucie Pudilova,Lina Lansberg
Darren Stewart,Francimar Barroso
Will Brooks,Charles Oliveira
Anthony Johnson,Daniel Cormier
Chris Weidman,Gegard Mousasi
Pearl Gonzalez,Cynthia Calvillo
Patrick Cote,Thiago Alves
Mike de la Torre,Myles Jury
Irene Aldana,Katlyn Cerminara
Charles Rosa,Shane Burgos
Jan Blachowicz,Patrick Cummins
Andrew Holbrook,Gregor Gillespie
Josh Emmett,Desmond Green
Jenel Lausa,Bibulatov Magomed
Sean Strickland,Kamaru Usman
Roy Nelson,Alexander Volkov
Wilson Reis,Demetrious Johnson
Michelle Waterson-Gomez,Rose Namajunas
Jacare Souza,Robert Whittaker
Jeremy Stephens,Renato Moicano
Patrick Williams,Tom Duquesnoy
Ashlee Evans-Smith,Ketlen Vieira
Louis Smolka,Tim Elliott
Augusto Mendes,Aljamain Sterling
Jake Collier,Devin Clark
Andrew Sanchez,Anthony Smith
Nathan Coy,Zak Cummings
Bobby Green,Rashid Magomedov
Artem Lobov,Cub Swanson
Diego Sanchez,Al Iaquinta
Marcos Rogerio de Lima,Ovince Saint Preux
Eddie Wineland,John Dodson
Joe Lauzon,Stevie Ray
Jake Ellenberger,Mike Perry
Sam Alvey,Thales Leites
Michael McBride,Scott Holtzman
Jessica Penne,Danielle Taylor
Cindy Dandois,Alexis Davis
Joe Proctor,Bryan Barberena
Matt Schnell,Hector Sandoval
Dustin Ortiz,Brandon Moreno
Junior Dos Santos,Stipe Miocic
Jessica Andrade,Joanna Jedrzejczyk
Jorge Masvidal,Demian Maia
Krzysztof Jotko,David Branch
Yair Rodriguez,Frankie Edgar
Rashad Coulter,Chase Sherman
Joachim Christensen,Gadzhimurad Antigulov
Gabriel Benitez,Enrique Barzola
Chas Skelly,Jason Knight
Marco Polo Reyes,James Vick
Jessica Aguilar,Cortney Casey
Glover Teixeira,Alexander Gustafsson
Misha Cirkunov,Volkan Oezdemir
Ben Saunders,Peter Sobotta
Oliver Enkamp,Nordine Taleb
Alex Nicholson,Jack Hermansson
Abdul Razak Alhassan,Omari Akhmedov
Chris Camozzi,Trevor Smith
Reza Madadi,Joaquim Silva
Nicholas Musoke,Bojan Velickovic
Jessin Ayari,Darren Till
Marcin Held,Damir Hadzovic
Damian Stasiak,Pedro Munhoz
Oluwale Bamgbose,Paulo Costa
Jose Aldo,Max Holloway
Karolina Kowalkiewicz,Claudia Gadelha
Nate Marquardt,Vitor Belfort
Erick Silva,Yancy Medeiros
Jamie Moyle,Viviane Pereira
Eric Spicely,Antonio Carlos Junior
Johnny Eduardo,Matthew Lopez
Iuri Alcantara,Brian Kelleher
Jim Wallhead,Luan Chagas
Marco Beltran,Deiveson Figueiredo
Marlon Moraes,Raphael Assuncao
Henrique da Silva,Ion Cutelaba
Derrick Lewis,Mark Hunt
Daniel Kelly,Derek Brunson
Ross Pearson,Dan Hooker
Tim Elliott,Ben Nguyen
Ashkan Mokhtarian,John Moraga
Damien Brown,Vinc Pichel
Mizuto Hirota,Alexander Volkanovski
Chan-Mi Jeon,JJ Aldrich
Kiichi Kunimoto,Zak Ottow
Dominique Steele,Luke Jumeau
Tarec Saffiedine,Rafael Dos Anjos
Bethe Correia,Holly Holm
Andrei Arlovski,Marcin Tybura
Dong Hyun Kim,Colby Covington
Cyril Asker,Walt Harris
Takanori Gomi,Jon Tuck
Justin Scoggins,Yuta Sasaki
Frank Camacho,Li Jingliang
Kwan Ho Kwak,Russell Doane
Carls John De Tomas,Naoki Inoue
Ji Yeon Kim,Lucie Pudilova
Rolando Dy,Alex Caceres
Michael Chiesa,Kevin Lee
Johny Hendricks,Tim Boetsch
Justine Kish,Felice Herrig
Joachim Christensen,Dominick Reyes
Alex Garcia,Tim Means
BJ Penn,Dennis Siver
Erik Koch,Clay Guida
Maryna Moroz,Carla Esparza
Devin Powell,Darrell Horcher
Michel Quinones,Jared Gordon
Johnny Case,Anthony Rocco Martin
Josh Stansbury,Jeremy Kimball
Vitor Miranda,Marvin Vettori
Michael Johnson,Justin Gaethje
Dhiego Lima,Jesse Taylor
Marc Diakiese,Drakkar Klose
Nick Roehrick,Jared Cannonier
Elias Theodorou,Brad Tavares
Marcel Fortuna,Jordan Johnson
Ashley Yoder,Angela Hill
Tom Gallicchio,James Krause
Ed Herman,CB Dollaway
Juliana Lima,Tecia Torres
Teruto Ishihara,Gray Maynard
Yoel Romero,Robert Whittaker
Fabricio Werdum,Alistair Overeem
Daniel Omielanczuk,Curtis Blaydes
Jim Miller,Anthony Pettis
Douglas Silva de Andrade,Rob Font
James Bochnovic,Trevin Giles
Brian Camozzi,Chad Laprise
Gerald Meerschaert,Thiago Santos
Jordan Mein,Belal Muhammad
Terrion Ware,Cody Stamann
Travis Browne,Aleksei Oleinik
Gunnar Nelson,Santiago Ponzinibbio
Ryan Janes,Jack Marshman
Joanne Wood,Cynthia Calvillo
Stevie Ray,Paul Felder
Paul Craig,Khalil Rountree Jr.
Albert Morales,Brett Johns
Bobby Nash,Danny Roberts
Neil Seery,Alexandre Pantoja
Charlie Ward,Galore Bofando
Daniel Teymur,Danny Henry
Amanda Lemos,Leslie Smith
James Mulheron,Justin Willis
Kelvin Gastelum,Chris Weidman
Dennis Bermudez,Darren Elkins
Gian Villante,Patrick Cummins
Thomas Almeida,Jimmie Rivera
Lyman Good,Elizeu Zaleski dos Santos
Rafael Natal,Eryk Anders
Ryan LaFlare,Alex Oliveira
Kyle Bochniak,Jeremy Kennedy
Brian Kelleher,Marlon Vera
Timothy Johnson,Junior Albini
Godofredo Pepey,Shane Burgos
Frankie Perez,Chris Wade
Damian Grabowski,Chase Sherman
Jimi Manuwa,Volkan Oezdemir
Demian Maia,Tyron Woodley
Tonya Evinger,Cristiane Justino
Donald Cerrone,Robbie Lawler
Jason Knight,Ricardo Lamas
Kailin Curran,Aleksandra Albu
Renato Moicano,Brian Ortega
Andre Fili,Calvin Kattar
Joshua Burkman,Drew Dober
Eric Shelton,Jarred Brooks
Renan Barao,Aljamain Sterling
Brandon Moreno,Sergio Pettis
Randa Markos,Alexa Grasso
Alan Jouban,Niko Price
Martin Bravo,Humberto Bandenay
Rashad Evans,Sam Alvey
Andre Soukhamthath,Alejandro Perez
Brad Scott,Jack Hermansson
Hector Sandoval,Dustin Ortiz
Henry Briones,Rani Yahya
Diego Rivas,Jose Quinonez
Robert Sanchez,Joseph Morales
Alvaro Herrera Mendoza,Jordan Rinaldi
Stefan Struve,Alexander Volkov
Talita Bernardo,Marion Reneau
Bryan Barberena,Leon Edwards
Bojan Velickovic,Darren Till
Felipe Silva,Mairbek Taisumov
Rob Wilkinson,Siyar Bahadurzada
Desmond Green,Rustam Khabilov
Francimar Barroso,Aleksandar Rakic
Mike Santiago,Zabit Magomedsharipov
Andrew Holbrook,Thibault Gouti
Bojan Mihajlovic,Abdul-Kerim Edilov
Mads Burnell,Michel Prazeres
Neil Magny,Rafael Dos Anjos
Wilson Reis,Henry Cejudo
Tyson Pedro,Ilir Latifi
Gilbert Melendez,Jeremy Stephens
Valentina Shevchenko,Amanda Nunes
Ashlee Evans-Smith,Sarah Moras
Gavin Tucker,Ricky Glenn
Mitch Clarke,Alex White
Luis Henrique,Arjan Bhullar
Adriano Martins,Kajan Johnson
Sara McMann,Ketlen Vieira
David Branch,Luke Rockhold
Alex Reyes,Mike Perry
Hector Lombard,Anthony Smith
Jason Gonzalez,Gregor Gillespie
Azunna Anyanwu,Justin Ledet
Anthony Rocco Martin,Olivier Aubin-Mercier
Anthony Hamilton,Daniel Spitz
Krzysztof Jotko,Uriah Hall
Jason Saggo,Gilbert Burns
Sergio Moraes,Kamaru Usman
Takanori Gomi,Dong Hyun Ma
Yushin Okami,Ovince Saint Preux
Claudia Gadelha,Jessica Andrade
Henrique da Silva,Gokhan Saki
Rolando Dy,Teruto Ishihara
Yuta Sasaki,Jussier Formiga
Alex Morono,Keita Nakamura
Chan-Mi Jeon,Syuri Kondo
Luke Jumeau,Shinsho Anzai
Hyun Gyu Lim,Daichi Abe
Kevin Lee,Tony Ferguson
Ray Borg,Demetrious Johnson
Walt Harris,Fabricio Werdum
Kalindra Faria,Mara Romero Borella
Tom Duquesnoy,Cody Stamann
Marco Beltran,Matt Schnell
Bibulatov Magomed,John Moraga
Thales Leites,Brad Tavares
Bobby Green,Lando Vannata
Evan Dunham,Beneil Dariush
Pearl Gonzalez,Poliana Botelho
Jonathan Wilson,Oskar Piechota
Donald Cerrone,Darren Till
Jodie Esquibel,Karolina Kowalkiewicz
Devin Clark,Jan Blachowicz
Nasrat Haqparast,Marcin Held
Felipe Arantes,Josh Emmett
Sam Alvey,Ramazan Emeev
Artem Lobov,Andre Fili
Salim Touahri,Warlley Alves
Lina Lansberg,Aspen Ladd
Damian Stasiak,Brian Kelleher
Jim Miller,Francisco Trinaldo
Lyoto Machida,Derek Brunson
Demian Maia,Colby Covington
Rob Font,Pedro Munhoz
Jack Hermansson,Thiago Santos
Jarred Brooks,Deiveson Figueiredo
Niko Price,Vicente Luque
Jack Marshman,Antonio Carlos Junior
Hacran Dias,Jared Gordon
Max Griffin,Elizeu Zaleski dos Santos
Christian Colombo,Marcelo Golm
Marlon Vera,John Lineker
Michael Bisping,Georges St-Pierre
Cody Garbrandt,TJ Dillashaw
Joanna Jedrzejczyk,Rose Namajunas
Jorge Masvidal,Stephen Thompson
Johny Hendricks,Paulo Costa
Joe Duffy,James Vick
Corey Anderson,Ovince Saint Preux
Mickey Gall,Randy Brown
Aleksei Oleinik,Curtis Blaydes
Aiemann Zahabi,Ricardo Ramos
Walt Harris,Mark Godbeer
Matthew Lopez,Raphael Assuncao
Anthony Pettis,Dustin Poirier
Diego Sanchez,Matt Brown
Junior Albini,Andrei Arlovski
Joe Lauzon,Clay Guida
Nate Marquardt,Cezar Ferreira
Viviane Pereira,Tatiana Suarez
Michel Quinones,Sage Northcutt
Darren Stewart,Karl Roberson
Angela Hill,Nina Nunes
Court McGee,Sean Strickland
Marcel Fortuna,Jake Collier
John Dodson,Marlon Moraes
Marcin Tybura,Fabricio Werdum
Bec Rawlings,Jessica-Rose Clark
Tim Means,Belal Muhammad
Bojan Velickovic,Jake Matthews
Daniel Kelly,Elias Theodorou
Shane Young,Alexander Volkanovski
Ashkan Mokhtarian,Ryan Benoit
Will Brooks,Nik Lentz
Rashad Coulter,Tai Tuivasa
Damien Brown,Frank Camacho
Alex Chambers,Nadia Kassem
Jenel Lausa,Eric Shelton
Anthony Hamilton,Adam Wieczorek
Zak Ottow,Li Jingliang
Alex Caceres,Wang Guan
Muslim Salikhov,Alex Garcia
Sheymon Moraes,Zabit Magomedsharipov
Bobby Nash,Song Kenan
Michael Bisping,Kelvin Gastelum
Bharat Kandare,Song Yadong
Chase Sherman,Shamil Abdurakhimov
Wu Yanan,Gina Mazany
Wulijiburen,Rolando Dy
Hu Yaozong,Cyril Asker
Kailin Curran,Yan Xiaonan
Roxanne Modafferi,Nicco Montano
Terrion Ware,Sean O'Malley
Barb Honchak,Lauren Murphy
Eric Spicely,Gerald Meerschaert
Joe Soto,Brett Johns
Andrew Sanchez,Ryan Janes
Karine Gevorgyan,Rachael Ostovich
Ariel Beck,Shana Dobson
Emily Whitmire,Gillian Robertson
Melinda Fabian,DeAnna Bennett
Christina Marks,Montana De La Rosa
Michelle Waterson-Gomez,Tecia Torres
Jose Aldo,Max Holloway
Alistair Overeem,Francis Ngannou
Sergio Pettis,Henry Cejudo
Justin Gaethje,Eddie Alvarez
Charles Oliveira,Paul Felder
Jeremy Kimball,Dominick Reyes
Drakkar Klose,David Teymur
Cortney Casey,Felice Herrig
Angela Magana,Amanda Cooper
Sabah Homasi,Abdul Razak Alhassan
Allen Crowder,Justin Willis
Alex Oliveira,Yancy Medeiros
Cub Swanson,Brian Ortega
Jason Knight,Gabriel Benitez
Markus Perez,Eryk Anders
Aljamain Sterling,Marlon Moraes
Darrell Horcher,Scott Holtzman
Albert Morales,Benito Lopez
Iuri Alcantara,Alejandro Perez
Luke Sanders,Andre Soukhamthath
Carls John De Tomas,Alex Perez
Merab Dvalishvili,Frankie Saenz
Chris Gruetzemacher,Davi Ramos
Antonio Braga Neto,Trevin Giles
Liz Carmouche,Alexis Davis
Ricardo Lamas,Josh Emmett
Mike Perry,Santiago Ponzinibbio
Misha Cirkunov,Glover Teixeira
Jared Cannonier,Jan Blachowicz
Robbie Lawler,Rafael Dos Anjos
Galore Bofando,Chad Laprise
Danny Roberts,Nordine Taleb
Abel Trujillo,John Makdessi
Oluwale Bamgbose,Alessio Di Chirico
Erick Silva,Jordan Mein
Darren Stewart,Julian Marquez
Holly Holm,Cristiane Justino
Edson Barboza,Khabib Nurmagomedov
Marc Diakiese,Dan Hooker
Cynthia Calvillo,Carla Esparza
